Column1,R_kpc,+R,-RColumn4,v_km/s,+v,-v
,5.353,5.353,5.353,195.826,195.826,195.826
,5.248,5.248,5.248,200.912,200.912,200.912
,5.142,5.142,5.142,201.058,201.058,201.058
,5.035,5.035,5.035,202.864,202.864,202.864
,4.925,4.925,4.925,202.632,202.632,202.632
,4.815,4.815,4.815,204.063,204.063,204.063
,4.702,4.702,4.702,200.557,200.557,200.557
,4.589,4.589,4.589,204.415,204.415,204.415
,4.474,4.474,4.474,203.739,203.739,203.739
,4.357,4.357,4.357,205.328,205.328,205.328
,4.239,4.239,4.239,209.084,209.084,209.084
,4.12,4.12,4.12,230.108,230.108,230.108
,4,4,4,224.5,224.5,224.5
,3.878,3.878,3.878,224.462,224.462,224.462
,3.756,3.756,3.756,219.795,219.795,219.795
,3.632,3.632,3.632,201.198,201.198,201.198
,3.507,3.507,3.507,200.074,200.074,200.074
,3.381,3.381,3.381,202.324,202.324,202.324
,3.254,3.254,3.254,206.147,206.147,206.147
,3.126,3.126,3.126,203.246,203.246,203.246
,2.997,2.997,2.997,197.922,197.922,197.922
,2.867,2.867,2.867,199.174,199.174,199.174
,2.736,2.736,2.736,196.804,196.804,196.804
,2.605,2.605,2.605,198.914,198.914,198.914
,2.472,2.472,2.472,199.804,199.804,199.804
,2.339,2.339,2.339,208.375,208.375,208.375
,2.205,2.205,2.205,204.628,204.628,204.628
,2.071,2.071,2.071,212.064,212.064,212.064
,6.324,6.619,6.03,180.741,168.334,193.148
,6.278,6.574,5.981,181.356,170.471,192.241
,6.212,6.411,6.014,245.232,229.934,260.531
,7.83,7.88,7.781,238.754,216.757,260.751
,5.902,6.09,5.715,204.58,195.544,213.616
,6.095,6.751,5.439,204.045,187.219,220.872
,5.286,6.097,4.474,235.414,214.616,256.213
,6.142,6.323,5.961,219.014,214.225,223.804
,5.224,6.027,4.422,201.092,180.925,221.258
,5.294,6.018,4.569,201.869,183.653,220.086
,6.347,6.818,5.875,218.229,206.111,230.347
,7.4,7.597,7.202,212.588,207.498,217.677
,7.229,7.288,7.169,208.777,206.58,210.973
,7.146,7.076,7.216,200.88,198.809,202.952
,7.205,7.249,7.161,201.436,199.617,203.254
,7.393,7.251,7.536,205.94,202.216,209.664
,9.194,7.758,10.631,201.865,165.887,237.844
,7.591,7.593,7.588,203.481,203.054,203.909
,8.055,7.656,8.455,201.386,191.175,211.597
,8.048,7.941,8.155,197.144,193.79,200.499
,7.965,7.963,7.967,199.13,196.116,202.143
,7.995,7.986,8.004,203.38,201.857,204.903
,9.346,8.622,10.07,162.471,144.369,180.574
,8.607,8.381,8.832,168.311,162.562,174.061
,8.138,8.106,8.17,211.652,210.369,212.934
,8.092,8.054,8.13,202.093,201.057,203.13
,11.404,9.755,13.052,149.153,107.938,190.368
,10.747,9.195,12.299,170.272,131.465,209.078
,8.073,8.046,8.099,187.494,186.515,188.472
,9.834,8.92,10.748,184.67,161.761,207.579
,8.26,8.158,8.361,189.373,186.781,191.965
,8.462,8.3,8.623,188.915,184.846,192.984
,8.177,8.112,8.243,193.441,191.241,195.642
,9.447,8.809,10.084,179.11,163.166,195.055
,8.305,8.266,8.344,198.369,196.942,199.796
,9.577,9.396,9.758,188.017,183.463,192.57
,10.97,9.743,12.197,350.982,320.279,381.685
,8.562,8.374,8.751,201.026,196.227,205.824
,11.839,10.293,13.385,215.606,176.902,254.309
,11.839,10.293,13.385,215.606,176.902,254.309
,9.207,8.972,9.442,177.061,170.812,183.31
,9.396,8.847,9.946,164.06,150.271,177.849
,9.585,8.828,10.342,167.46,148.506,186.415
,9.41,8.857,9.963,169.446,155.599,183.294
,9.869,9.142,10.596,187.174,168.994,205.353
,9.164,8.744,9.583,173.001,161.723,184.279
,8.785,8.505,9.065,179.804,172.718,186.89
,10.242,9.389,11.095,198.292,176.909,219.675
,9.291,8.839,9.743,174.977,163.614,186.339
,9.618,8.997,10.238,192.827,176.993,208.661
,8.98,8.66,9.3,159.935,151.919,167.951
,9.52,8.967,10.073,190.702,176.879,204.525
,9.383,8.893,9.872,191.772,179.462,204.082
,9.572,9.413,9.732,163.145,154.799,171.491
,9.669,9.419,9.92,220.832,213.886,227.779
,8.628,8.387,8.869,196.398,189.619,203.177
,10.997,11.744,10.249,211.471,192.755,230.187
,15.113,14.339,15.886,259.059,239.7,278.419
,15.705,13.377,18.034,177.105,118.673,235.537
,13.569,11.827,15.311,190.135,146.541,233.728
,13.685,13.103,14.267,196.967,182.4,211.534
,12.992,12.211,13.773,231.11,211.352,250.868
,12.022,11.439,12.605,195.996,181.021,210.97
,8.378,8.34,8.416,231.714,222.55,240.877
,11.457,10.366,12.547,219.98,189.632,250.328
,12.335,11.939,12.732,203.363,193.18,213.547
,16.197,13.613,18.781,198.296,133.654,262.938
,8.436,8.3,8.572,209.601,204.257,214.946
,8.383,8.259,8.508,165.661,162.084,169.239
,11.694,10.713,12.675,201.978,177.328,226.629
,12.656,12.165,13.146,210.216,197.842,222.589
,8.741,8.601,8.881,199.124,194.804,203.444
,9.453,9.269,9.638,199.12,194.499,203.741
,8.441,8.396,8.485,192.557,189.094,196.021
,16.488,13.679,19.297,213.225,142.786,283.663
,12.716,11.962,13.471,182.367,163.456,201.279
,14.26,13.595,14.925,211.374,194.631,228.116
,10.701,9.991,11.41,208.617,190.831,226.404
,10.508,9.453,11.563,143.702,117.299,170.104
,8.862,8.753,8.971,192.245,189.166,195.324
,11.745,10.424,13.065,224.305,191.264,257.346
,11.3,10.799,11.801,195.921,183.382,208.459
,12.465,11.687,13.243,205.838,186.377,225.299
,9.498,8.978,10.018,212.639,199.633,225.645
,11.841,10.667,13.015,215.109,185.754,244.464
,9.447,9.085,9.809,169.068,159.98,178.156
,12.049,11.376,12.722,219.964,203.021,236.907
,8.853,8.54,9.166,192.623,184.712,200.534
,10.507,10.066,10.947,187.622,176.474,198.77
,16.083,13.378,18.788,319.194,251.561,386.828
,6.324,6.619,6.03,180.741,168.334,193.148
,6.278,6.574,5.981,181.356,170.471,192.241
,6.212,6.411,6.014,245.232,229.934,260.531
,7.83,7.88,7.781,238.754,216.757,260.751
,5.902,6.09,5.715,204.58,195.544,213.616
,6.095,6.751,5.439,204.045,187.219,220.872
,5.286,6.097,4.474,235.414,214.616,256.213
,6.142,6.323,5.961,219.014,214.225,223.804
,5.224,6.027,4.422,201.092,180.925,221.258
,5.294,6.018,4.569,201.869,183.653,220.086
,6.347,6.818,5.875,218.229,206.111,230.347
,7.4,7.597,7.202,212.588,207.498,217.677
,7.229,7.288,7.169,208.777,206.58,210.973
,7.146,7.076,7.216,200.88,198.809,202.952
,7.205,7.249,7.161,201.436,199.617,203.254
,7.393,7.251,7.536,205.94,202.216,209.664
,9.194,7.758,10.631,201.865,165.887,237.844
,7.591,7.593,7.588,203.481,203.054,203.909
,8.055,7.656,8.455,201.386,191.175,211.597
,8.048,7.941,8.155,197.144,193.79,200.499
,7.965,7.963,7.967,199.13,196.116,202.143
,7.995,7.986,8.004,203.38,201.857,204.903
,9.346,8.622,10.07,162.471,144.369,180.574
,8.607,8.381,8.832,168.311,162.562,174.061
,8.138,8.106,8.17,211.652,210.369,212.934
,8.092,8.054,8.13,202.093,201.057,203.13
,11.404,9.755,13.052,149.153,107.938,190.368
